Season,Cause,Cause (English),Fires,Fires (%),Total (ha),Total (% of ha)
2023-2024,"Actividades al aire libre (camping, excursiones, caza, pesca, otros)","Outdoor activities (camping, hiking, hunting, fishing, other)",153,3.06,1941.80,3.04
2023-2024,Actividades de control y extinción de incendios forestales,Wildfire control and suppression activities,51,1.02,713.13,1.12
2023-2024,Producción y/o extracción de productos y/o derivados del bosque,Production and extraction of forest products and by-products,39,0.78,847.82,1.33
2023-2024,Incendios naturales,Natural fires,31,0.62,2124.29,3.33
2023-2024,Vías férreas,Railways,8,0.16,6.75,0.01
2023-2024,(no cause published),,337,6.75,3277.57,5.13
2024-2025,Incendios intencionales,Intentional fires,1789,28.53,36300.88,39.60
2024-2025,Otras quemas,Other burning,794,12.66,2485.15,2.71
2024-2025,Incendios de causa indeterminada,Fires of indeterminate cause,686,10.94,2389.35,2.61
2024-2025,Faenas agrícolas y pecuarias,Agricultural and livestock operations,471,7.51,22036.26,24.04
2024-2025,Líneas eléctricas,Power lines,454,7.24,12356.32,13.48
2024-2025,Otras causas,Other causes,410,6.54,2102.87,2.29
2024-2025,"Parcelaciones, edificaciones residenciales, industriales u otras en zonas rurales o de interfaz","Rural subdivisions, residential, industrial and other building in rural or interface areas",354,5.65,1914.95,2.09
2024-2025,"Originados por desplazamiento de personas, vehículos o aeronaves","Caused by the movement of people, vehicles or aircraft",335,5.34,568.14,0.62
2024-2025,Faenas forestales,Forestry operations,306,4.88,2801.17,3.06
2024-2025,"Actividades al aire libre (camping, excursiones, caza, pesca, otros)","Outdoor activities (camping, hiking, hunting, fishing, other)",177,2.82,2324.83,2.54
2024-2025,Actividades de control y extinción de incendios forestales,Wildfire control and suppression activities,68,1.08,265.53,0.29
2024-2025,Producción y/o extracción de productos y/o derivados del bosque,Production and extraction of forest products and by-products,56,0.89,2143.82,2.34
2024-2025,Vías férreas,Railways,15,0.24,16.13,0.02
2024-2025,Incendios naturales,Natural fires,14,0.22,37.97,0.04
2024-2025,(no cause published),,342,5.45,3930.28,4.29
Total,Incendios intencionales,Intentional fires,33451,34.89,681709.15,34.76
Total,"Tránsito de personas, vehículos o aeronaves","Movement of people, vehicles or aircraft",21510,22.44,222025.70,11.32
Total,Incendios de causa desconocida,Fires of unknown cause,5350,5.58,306010.03,15.60
Total,Faenas agrícolas y pecuarias,Agricultural and livestock operations,4751,4.96,91406.02,4.66
Total,Faenas forestales,Forestry operations,4515,4.71,35432.60,1.81
Total,Quema de desechos,Burning of waste,3869,4.04,44130.70,2.25
Total,Actividades recreativas,Recreational activities,3270,3.41,51714.60,2.64
Total,Accidentes eléctricos,Electrical accidents,2369,2.47,251760.07,12.84
Total,Otras quemas,Other burning,1508,1.57,4340.48,0.22
Total,Incendios de causa indeterminada,Fires of indeterminate cause,1353,1.41,5808.65,0.30
Total,"Actividades extinción incendios forestales, incendios estructurales u otros","Wildfire, structural and other fire suppression activities",1255,1.31,44621.98,2.27
Total,Otras actividades,Other activities,1172,1.22,95512.60,4.87
Total,Otras causas,Other causes,756,0.79,9245.07,0.47
Total,Líneas eléctricas,Power lines,749,0.78,16845.39,0.86
Total,"Parcelaciones, edificaciones residenciales, industriales u otras en zonas rurales o de interfaz","Rural subdivisions, residential, industrial and other building in rural or interface areas",642,0.67,5208.62,0.27
Total,Confección y/o extracción productos secundarios del bosque,Gathering and processing of non-timber forest products,609,0.64,18345.73,0.94
Total,"Originados por desplazamiento de personas, vehículos o aeronaves","Caused by the movement of people, vehicles or aircraft",555,0.58,2611.03,0.13
Total,Incendios naturales,Natural fires,361,0.38,14605.41,0.74
Total,"Actividades al aire libre (camping, excursiones, caza, pesca, otros)","Outdoor activities (camping, hiking, hunting, fishing, other)",330,0.34,4266.63,0.22
Total,Operaciones en vías férreas,Railway operations,187,0.20,329.64,0.02
Total,Actividades de control y extinción de incendios forestales,Wildfire control and suppression activities,119,0.12,978.67,0.05
Total,Producción y/o extracción de productos y/o derivados del bosque,Production and extraction of forest products and by-products,95,0.10,2991.64,0.15
Total,Vías férreas,Railways,23,0.02,22.88,0.00
Total,(specific cause only),,6049,6.31,38538.80,1.96
Total,(unreconciled cause),,5,0.01,0.00,0.00
Total,(no cause published),,1012,1.06,12966.17,0.66
